GEOID_ZCTA5_20,GEOID_COUNTY_20,NAMELSAD_COUNTY_20,AREALAND_PART
99557,02050,Bethel Census Area,35426845132
99576,02070,Dillingham Census Area,29607891619
99566,02066,Copper River Census Area,24385142667
99740,02290,Yukon-Koyukuk Census Area,20827221156
99768,02290,Yukon-Koyukuk Census Area,20744233793
99627,02290,Yukon-Koyukuk Census Area,17165498744
99730,02290,Yukon-Koyukuk Census Area,16757652653
99738,02240,Southeast Fairbanks Census Area,15229912660
99635,02122,Kenai Peninsula Borough,12703725244
99667,02170,Matanuska-Susitna Borough,12619729428
99780,02240,Southeast Fairbanks Census Area,12032180762
99691,02290,Yukon-Koyukuk Census Area,11977955244
99737,02240,Southeast Fairbanks Census Area,10798304178
99615,02150,Kodiak Island Borough,10690237987
99772,02180,Nome Census Area,10286642156
99752,02188,Northwest Arctic Borough,10278209718
99573,02066,Copper River Census Area,9898716754
97910,41045,Malheur County,9405574737
99574,02063,Chugach Census Area,8526432958
99712,02090,Fairbanks North Star Borough,8453966819
99743,02068,Denali Borough,8364066407
99739,02180,Nome Census Area,7530970134
89412,32031,Washoe County,7335395696
85634,04019,Pima County,7152080104
82414,56029,Park County,7010806160
99664,02122,Kenai Peninsula Borough,6962779342
99640,02164,Lake and Peninsula Borough,6955635388
99760,02290,Yukon-Koyukuk Census Area,6838446862
99729,02170,Matanuska-Susitna Borough,6822239996
88030,35029,Luna County,6662651636
99835,02220,Sitka City and Borough,6656566726
82633,56009,Converse County,6601288562
59538,30071,Phillips County,6453632795
89049,32023,Nye County,6335504168
99929,02275,Wrangell City and Borough,6251057296
99781,02290,Yukon-Koyukuk Census Area,6158542671
59301,30017,Custer County,6002863280
88201,35005,Chaves County,5925762305
99921,02198,Prince of Wales-Hyder Census Area,5805317180
81640,08081,Moffat County,5767110272
99801,02110,Juneau City and Borough,5699104433
99519,02185,North Slope Borough,5533233625
89301,32033,White Pine County,5500068321
59337,30033,Garfield County,5482615670
83539,16049,Idaho County,5398475932
89445,32013,Humboldt County,5383654367
89820,32015,Lander County,5299085244
59327,30087,Rosebud County,5190022914
89310,32015,Lander County,5135542197
89406,32001,Churchill County,5091328878
99588,02066,Copper River Census Area,5077197280
99833,02195,Petersburg Borough,4987868069
88220,35015,Eddy County,4940695925
99756,02290,Yukon-Koyukuk Census Area,4895198474
59725,30001,Beaverhead County,4875063924
99674,02170,Matanuska-Susitna Borough,4869229218
99586,02066,Copper River Census Area,4782518098
89835,32007,Elko County,4754187469
99684,02180,Nome Census Area,4740556021
89008,32017,Lincoln County,4687095396
88435,35019,Guadalupe County,4662387209
78880,48137,Edwards County,4647706482
92328,06027,Inyo County,4593487471
83226,16037,Custer County,4552289891
82190,56029,Park County,4499053039
99827,02100,Haines Borough,4479754305
99762,02180,Nome Census Area,4431334415
99901,02130,Ketchikan Gateway Borough,4387728507
82834,56019,Johnson County,4367196817
99688,02170,Matanuska-Susitna Borough,4344314016
83278,16037,Custer County,4236388741
87821,35003,Catron County,4208818076
83611,16085,Valley County,4169781273
59645,30059,Meagher County,4164338042
88119,35011,De Baca County,4151167332
87701,35047,San Miguel County,4148648725
